,car-body
0,"('Hyundai Elite i20 Asta 1.2 (O)', 'Hatchback')"
1,"('Hyundai Creta SX IVT Petrol', 'SUV')"
2,"('Hyundai Creta 1.6 SX', 'SUV')"
3,"('Hyundai Grand i10 Sportz 1.2 Kappa VTVT', 'Hatchback')"
4,"('Renault Kwid 1.0 RXL', 'Hatchback')"
5,"('Hyundai Elite i20 Asta (O) CVT', 'Hatchback')"
6,"('Maruti Suzuki Baleno Alpha Petrol', 'Hatchback')"
7,"('Maruti Suzuki Baleno Alpha Petrol+CNG (Outside...', 'Hatchback')"
8,"('Maruti Suzuki XL6 Alpha AT Petrol', 'MPV')"
9,"('Toyota Etios V', 'Sedan')"
10,"('Toyota Etios Liva G', 'Hatchback')"
11,"('Maruti Suzuki Ciaz ZXI+ AT', 'Sedan')"
12,"('Hyundai i20 Magna 1.2', 'Hatchback')"
13,"('Hyundai Grand i10 Magna 1.2 Kappa VTVT', 'Hatchback')"
14,"('Hyundai i10 Magna 1.2 Petrol', 'Hatchback')"
15,"('Ford EcoSport Titanium 1.5L Ti-VCT', 'SUV')"
16,"('Hyundai Verna SX Opt Turbo Petrol', 'Sedan')"
17,"('Kia Sonet GTX Plus 1.0 iMT', 'SUV')"
18,"('Maruti Suzuki Swift VXI AMT', 'Hatchback')"
19,"('Maruti Suzuki Ritz LXI', 'Hatchback')"
20,"('Maruti Suzuki Swift LXI (O)', 'Hatchback')"
21,"('Maruti Suzuki Swift ZXI Plus AMT', 'Hatchback')"
22,"('Maruti Suzuki Dzire ZXI AMT CNG (outside fitted)', 'Sedan')"
23,"('Skoda Kushaq Ambition 1.0L TSI MT', 'SUV')"
24,"('Mahindra XUV 300 W8 Petrol', 'SUV')"
25,"('Ford EcoSport Titanium+ 1.0L EcoBoost', 'SUV')"
26,"('Maruti Suzuki Baleno Zeta AT Petrol+cng(Outsid...', 'Hatchback')"
27,"('Maruti Suzuki Vitara Brezza ZDI PLUS Dual Tone', 'SUV')"
28,"('Volkswagen Polo Comfortline 1.2L CNG (Outside ...', 'Hatchback')"
29,"('Maruti Suzuki Ciaz ZXI', 'Sedan')"
30,"('Honda City V (AVN)', 'Sedan')"
31,"('Honda Brio VX MT', 'Hatchback')"
32,"('Mahindra KUV100 K4 D 6 STR', 'SUV')"
33,"('Hyundai i10 Era Petrol', 'Hatchback')"
34,"('Maruti Suzuki Swift VXI', 'Hatchback')"
35,"('Maruti Suzuki Baleno Sigma Petrol', 'Hatchback')"
36,"('Renault Duster RxL Petrol', 'SUV')"
37,"('Renault Triber RXT', 'MPV')"
38,"('Renault Kwid 1.0 RXT Opt', 'Hatchback')"
39,"('Renault Kiger RXZ 1.0 Turbo MT Dual Tone', 'SUV')"
