,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
0,2018 Hyundai Elite i20 Asta 1.2 (O),34K km, · Petrol, · Manual,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.65 Lakh
1,2021 Hyundai Creta SX IVT Petrol,19K km, · Petrol, · Automatic,,"Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",₹15.24 Lakh
2,2019 Hyundai Creta 1.6 SX,51K km, · Diesel, · Manual,"Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
126 bhp
Max torque
260 nm
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹11.88 Lakh
3,2015 Hyundai Grand i10 Sportz 1.2 Kappa VTVT,44K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
81 bhp
Max torque
114 nm
VIEW ALL SPECIFICATIONS",₹4.06 Lakh
4,2021 Renault Kwid 1.0 RXL,12K km, · Petrol, · Manual,"Mileage (ARAI)
21.7 kmpl
Ground clearance
184 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",,₹3.75 Lakh
5,2019 Hyundai Elite i20 Asta (O) CVT,17K km, · Petrol, · Automatic,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹7.93 Lakh
6,2016 Maruti Suzuki Baleno Alpha Petrol,56K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.78 Lakh
7,2019 Maruti Suzuki Baleno Alpha Petrol+CNG (Outside Fitted),10K km, · Petrol+cng, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.45 Lakh
8,2020 Maruti Suzuki XL6 Alpha AT Petrol,50K km, · Petrol, · Automatic,"Mileage (ARAI)
17.99 kmpl
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",,₹10.98 Lakh
9,2011 Toyota Etios V,50K km, · Petrol, · Manual,"Mileage (ARAI)
17.57 kmpl
Ground clearance
170 mm
Boot space
595 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
80 bhp
VIEW ALL SPECIFICATIONS",,₹2.72 Lakh
