brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
2019 Tata Harrier XZ,38K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹15.65 Lakh
2019 Maruti Suzuki Baleno Zeta Petrol,25K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹7.85 Lakh
2021 Mahindra XUV 300 W6 AMT Diesel,51K km, · Diesel, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
115 bhp
VIEW ALL SPECIFICATIONS",₹11.41 Lakh
2019 Tata Nexon XZA Plus AMT Diesel,54K km, · Diesel, · Automatic,"Mileage (ARAI)
21.5 kmpl
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",,₹9.64 Lakh
2019 Ford Freestyle Titanium 1.2,18K km, · Petrol, · Manual,,"Mileage (ARAI)
18.5 kmpl
Boot space
257 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
94.93 bhp
Max torque
119 nm
VIEW ALL SPECIFICATIONS",₹6.57 Lakh
2014 Tata Nano Twist XT Petrol,20K km, · Petrol, · Manual,"Mileage (ARAI)
25.4 kmpl
Ground clearance
180 mm
Boot space
80 litres
Seating capacity
4 units
Fuel tank capacity
15 litres
Max power
37.5 bhp
VIEW ALL SPECIFICATIONS",,₹2.12 Lakh
2021 Tata Safari XZ Plus,71K km, · Diesel, · Manual,,"Mileage (ARAI)
16.14 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Fuel tank capacity
50 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹19.05 Lakh
2016 Maruti Suzuki Baleno Zeta AT Petrol,40K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.56 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹7.21 Lakh
2021 Nissan Magnite XV Turbo CVT,10K km, · Petrol, · Automatic,,"Ground clearance
205 mm
Boot space
336 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹9.41 Lakh
2021 Renault Kiger RXZ Turbo CVT,15K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹10.76 Lakh
2013 Hyundai Neo Fluidic Elantra 1.6 SX AT CRDi,98K km, · Diesel, · Automatic,"Ground clearance
175 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
56 litres
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹7.18 Lakh
2020 Maruti Suzuki Dzire VXI,20K km, · Petrol, · Manual,,"Mileage (ARAI)
23.26 kmpl
Ground clearance
170 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
VIEW ALL SPECIFICATIONS",₹7.49 Lakh
2020 Maruti Suzuki Swift ZXI Plus,72K km, · Petrol, · Manual,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.25 Lakh
2015 Maruti Suzuki Alto 800 LXI,21K km, · Petrol, · Manual,"Mileage (ARAI)
22.74 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.3 bhp
VIEW ALL SPECIFICATIONS",,₹3.12 Lakh
2017 Maruti Suzuki Celerio VXI AMT,35K km, · Petrol, · Automatic,"Mileage (ARAI)
23.1 kmpl
Ground clearance
165 mm
Boot space
235 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.04 bhp
VIEW ALL SPECIFICATIONS",,₹4.96 Lakh
2016 Hyundai Elite i20 Sportz 1.2,54K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.43 Lakh
2019 Hyundai Venue SX 1.4 CRDI,79K km, · Diesel, · Manual,"Mileage (ARAI)
23.7 kmpl
Ground clearance
190 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
98.6 bhp
VIEW ALL SPECIFICATIONS",,₹9.36 Lakh
2018 Ford EcoSport Titanium + 1.5L Ti-VCT AT,21K km, · Petrol, · Automatic,"Mileage (ARAI)
14.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹9.98 Lakh
2012 Hyundai i20 Sportz 1.4 CRDI,45K km, · Diesel, · Manual,"Mileage (ARAI)
14.9 kmpl
Ground clearance
165 mm
Boot space
295 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
90 bhp
VIEW ALL SPECIFICATIONS",,₹5.61 Lakh
2015 Hyundai Elite i20 Sportz 1.2,65K km, · Petrol, · Manual,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹5.79 Lakh
2019 Tata Harrier XZ,38K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹15.65 Lakh
2019 Maruti Suzuki Baleno Zeta Petrol,25K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹7.85 Lakh
2021 Mahindra XUV 300 W6 AMT Diesel,51K km, · Diesel, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
180 mm
Boot space
259 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
115 bhp
VIEW ALL SPECIFICATIONS",₹11.41 Lakh
2019 Tata Nexon XZA Plus AMT Diesel,54K km, · Diesel, · Automatic,"Mileage (ARAI)
21.5 kmpl
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",,₹9.64 Lakh
2019 Ford Freestyle Titanium 1.2,18K km, · Petrol, · Manual,,"Mileage (ARAI)
18.5 kmpl
Boot space
257 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
94.93 bhp
Max torque
119 nm
VIEW ALL SPECIFICATIONS",₹6.57 Lakh
2014 Tata Nano Twist XT Petrol,20K km, · Petrol, · Manual,"Mileage (ARAI)
25.4 kmpl
Ground clearance
180 mm
Boot space
80 litres
Seating capacity
4 units
Fuel tank capacity
15 litres
Max power
37.5 bhp
VIEW ALL SPECIFICATIONS",,₹2.12 Lakh
2021 Tata Safari XZ Plus,71K km, · Diesel, · Manual,,"Mileage (ARAI)
16.14 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Fuel tank capacity
50 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹19.05 Lakh
2016 Maruti Suzuki Baleno Zeta AT Petrol,40K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.56 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹7.21 Lakh
2021 Nissan Magnite XV Turbo CVT,10K km, · Petrol, · Automatic,,"Ground clearance
205 mm
Boot space
336 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹9.41 Lakh
2021 Renault Kiger RXZ Turbo CVT,15K km, · Petrol, · Automatic,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹10.76 Lakh
2013 Hyundai Neo Fluidic Elantra 1.6 SX AT CRDi,98K km, · Diesel, · Automatic,"Ground clearance
175 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
56 litres
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹7.18 Lakh
2020 Maruti Suzuki Dzire VXI,20K km, · Petrol, · Manual,,"Mileage (ARAI)
23.26 kmpl
Ground clearance
170 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
VIEW ALL SPECIFICATIONS",₹7.49 Lakh
2020 Maruti Suzuki Swift ZXI Plus,72K km, · Petrol, · Manual,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹7.25 Lakh
2015 Maruti Suzuki Alto 800 LXI,21K km, · Petrol, · Manual,"Mileage (ARAI)
22.74 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.3 bhp
VIEW ALL SPECIFICATIONS",,₹3.12 Lakh
2017 Maruti Suzuki Celerio VXI AMT,35K km, · Petrol, · Automatic,"Mileage (ARAI)
23.1 kmpl
Ground clearance
165 mm
Boot space
235 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.04 bhp
VIEW ALL SPECIFICATIONS",,₹4.96 Lakh
